economy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CYP,68.7726966799379,68.8024068077544,68.7863589370716,68.7120973207373,68.5908141437316,68.4340674211981,68.2534151682801,68.0604154001212,67.8666261318649,67.6836053786548,67.5229111556342,67.3979892758544,67.3010289148738,67.2102333625375,67.1230558819804,67.0402477918073,66.9625604106231,66.8907450570326,66.8255530496405,66.7677357070518,66.7180443478713,66.6718365394971,66.6694829407584,66.6739477522639
CZE,74.0038256456769,73.9131752504002,73.8360067578753,73.7649150201353,73.6991647167017,73.6375545423198,73.578883191735,73.5219493596925,73.4655517409377,73.4084890302159,73.3495599222723,73.2878338394746,73.2249239592898,73.1622186934979,73.0995921041469,73.0370442874355,72.9745753395623,72.9121853567256,72.8498744351241,72.7876426709563,72.7254901604208,72.6810594374316,72.6967638379524,72.7352388396817
DEU,80.0942160905637,80.1070808273695,80.1213973750556,80.1373116303862,80.1549694901257,80.1745168510383,80.1960996098884,80.2198636634402,80.2459549084581,80.2745192417062,80.305702559949,80.3405762928198,80.393447520218,80.4732318400362,80.57574023743,80.6974371632814,80.8347870684725,80.9842544038853,81.1423036204018,81.3053991689039,81.4700055002738,81.6325870653934,81.7867852780995,81.9034366692129
DJI,73.3486361649708,72.8935327252495,72.4503357641707,72.0304414068997,71.6452457786012,71.3061450044404,71.0245352095823,70.8118125191918,70.6793730584341,70.6383251554484,70.6486554782903,70.6776532458676,70.7266311335377,70.7969331287484,70.8899032189478,71.0068853915837,71.1492236341041,71.318261933957,71.5153442785902,71.7418146554518,71.9990170519895,72.2882954556515,72.6109938538856,72.8408245988921
DMA,65.2352744316641,65.3586067945228,65.5209250395792,65.7244163144059,65.9653093849432,66.2400724917823,66.5451738755145,66.877081776731,67.232264436023,67.6071900939817,67.9983269911984,68.3978165602727,68.754609337094,69.119704197722,69.4907847110252,69.8679153463528,70.2511605730541,70.6405848604787,71.0362526779762,71.4382284948964,71.846576780589,72.2613620044042,72.682648635692,73.1105011438027
DNK,85.0999984741211,85.188307882087,85.3000030517578,85.4199981689453,85.7130276911593,86.0059706832865,86.2501288149818,86.4251464366349,86.583137512207,86.7617653139929,86.8652420043945,87.1567653955846,87.2336196899414,87.5436524760432,87.6823985731907,87.7254056577329,87.6999969482422,88.0161943799509,88.1059762310689,88.2096490810669,88.2394485473632,88.2616449318149,88.3880239837703,88.552638542867
DOM,61.3128549215919,62.2979450293469,63.2914022524877,64.426197134766,65.8914085229291,67.5759180469321,69.333853706035,71.0193434994977,72.4865154265802,73.5894974865426,74.1642773174177,74.2440389501301,74.2398679969568,74.2251359951216,74.1931533822153,74.1372305958285,74.0506780735522,73.926806252977,73.7589255716938,73.5403464672933,73.2643793773663,72.9243347395035,72.4203155643711,72.3577991823338
DZA,59.8521239445692,60.6177172788536,61.3812658601162,62.1427907986812,62.9023132048725,63.6598541890144,64.4154348614309,65.1690763324461,65.901485871159,66.5097384559521,67.1235057867459,67.7344007507578,68.3421258553675,68.9463836079277,69.5468765157615,70.1433070861612,70.7353778263851,71.3227912436551,71.905249845153,72.4824561380175,73.0541126293395,73.6199218261573,74.1795862354514,74.732808364138
EAP,36.7098568881928,37.7841855057617,38.996284226454,40.212083972774,41.2783334979221,42.3396914809038,43.4769730591545,44.7353095541115,45.6933496616839,46.8344355218795,47.6560812444264,49.6140488674567,50.6757055422017,51.8122190695644,52.8565756064242,54.1114656751357,55.3186115241997,56.4654638258327,57.6502705350874,58.6555692756585,59.3705245555409,60.3526131684329,60.8593968560328,61.2276463501262
EAR,38.0803817655307,38.4624516015098,38.8449997668426,39.2372244886496,39.640743488933,40.0491199566483,40.4596760928047,40.8566741985846,41.2894669444167,41.7208534147391,42.1325153327682,42.55386928757,43.0048413961797,43.5232298113552,44.0073800418904,44.4503233893376,44.8097968515725,45.1249360555588,45.4349772935468,45.7649596058874,46.0812452315672,46.3752600779412,46.6969243405166,47.0167430983708
